Date,Competition,,,Score,,
21/07/2021,Pre-Season,"/img/teams/walsall.png",Walsall,"0 - 4","/img/teams/avfc.png","Aston Villa"
24/07/2021,Pre-Season,"/img/teams/stoke.png",Stoke,"2 - 0","/img/teams/avfc.png","Aston Villa"
31/07/2021,Pre-Season,"/img/teams/bristol-c.png","Bristol City","0 - 3","/img/teams/avfc.png","Aston Villa"
08/08/2021,Pre-Season,"/img/teams/avfc.png","Aston Villa","3 - 1","/img/teams/salernita.png",Salernitana
14/08/2021,"Premier League","/img/teams/watford.png",Watford,"3 - 2","/img/teams/avfc.png","Aston Villa"
21/08/2021,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 0","/img/teams/newcastle.png",Newcastle
24/08/2021,"League Cup","/img/teams/barrow.png","Barrow AFC","0 - 6","/img/teams/avfc.png","Aston Villa"
28/08/2021,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 1","/img/teams/brentford.png",Brentford
11/09/2021,"Premier League","/img/teams/chelsea.png",Chelsea,"3 - 0","/img/teams/avfc.png","Aston Villa"
18/09/2021,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 0","/img/teams/everton.png",Everton
22/09/2021,"League Cup","/img/teams/chelsea.png",Chelsea,"1 - 1*","/img/teams/avfc.png","Aston Villa"
25/09/2021,"Premier League","/img/teams/avfc.png","Man. Utd","0 - 1","/img/teams/avfc.png","Aston Villa"
03/10/2021,"Premier League","/img/teams/spurs.png",Tottenham,"2 - 1","/img/teams/avfc.png","Aston Villa"
16/10/2021,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 3","/img/teams/wolves.png",Wolves
22/10/2021,"Premier League","/img/teams/arsenal.png",Arsenal,"3 - 1","/img/teams/avfc.png","Aston Villa"
31/10/2021,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 4","/img/teams/west-ham.png","West Ham"
05/11/2021,"Premier League","/img/teams/southampton.png",Southampton,"1 - 0","/img/teams/avfc.png","Aston Villa"
20/11/2021,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 0","/img/teams/brighton.png",Brighton
27/11/2021,"Premier League","/img/teams/crystal-pal.png","Crystal Palace","1 - 2","/img/teams/avfc.png","Aston Villa"
01/12/2021,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/man-c.png",Man. City
05/12/2021,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/leicester.png",Leicester
11/12/2021,"Premier League","/img/teams/liverpool.png",Liverpool,"1 - 0","/img/teams/avfc.png","Aston Villa"
14/12/2021,"Premier League","/img/teams/norwich.png",Norwich,"0 - 2","/img/teams/avfc.png","Aston Villa"
26/12/2021,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 3","/img/teams/chelsea.png",Chelsea
02/01/2022,"Premier League","/img/teams/brentford.png",Brentford,"2 - 1","/img/teams/avfc.png","Aston Villa"
10/01/2022,"FA Cup","/img/teams/man-u.png","Man. Utd","1 - 0","/img/teams/avfc.png","Aston Villa"
15/01/2022,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 2","/img/teams/man-u.png","Man. Utd"
22/01/2022,"Premier League","/img/teams/everton.png",Everton,"0 - 1","/img/teams/avfc.png","Aston Villa"
09/02/2022,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 3","/img/teams/leeds.png",Leeds
13/02/2022,"Premier League","/img/teams/newcastle.png",Newcastle,"1 - 0","/img/teams/avfc.png","Aston Villa"
19/02/2022,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 1","/img/teams/watford.png",Watford
26/02/2022,"Premier League","/img/teams/brighton.png",Brighton,"0 - 2","/img/teams/avfc.png","Aston Villa"
05/03/2022,"Premier League","/img/teams/avfc.png","Aston Villa","4 - 0","/img/teams/southampton.png",Southampton
10/03/2022,"Premier League","/img/teams/leeds.png",Leeds,"0 - 3","/img/teams/avfc.png","Aston Villa"
13/03/2022,"Premier League","/img/teams/west-ham.png","West Ham","2 - 1","/img/teams/avfc.png","Aston Villa"
19/03/2022,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 1","/img/teams/arsenal.png",Arsenal
02/04/2022,"Premier League","/img/teams/wolves.png",Wolves,"2 - 1","/img/teams/avfc.png","Aston Villa"
09/04/2022,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 4","/img/teams/spurs.png",Tottenham
23/04/2022,"Premier League","/img/teams/leicester.png",Leicester,"0 - 0","/img/teams/avfc.png","Aston Villa"
30/04/2022,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 0","/img/teams/norwich.png",Norwich
07/05/2022,"Premier League","/img/teams/burnley.png",Burnley,"1 - 3","/img/teams/avfc.png","Aston Villa"
10/05/2022,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/liverpool.png",Liverpool
15/05/2022,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 1","/img/teams/crystal-pal.png","Crystal Palace"
19/05/2022,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 1","/img/teams/burnley.png",Burnley
22/05/2022,"Premier League","/img/teams/man-c.png","Man. City","3 - 2","/img/teams/avfc.png","Aston Villa"
