Date,Competition,,,Score,,
18/07/2019,"Pre-Season","/img/teams/minnesota.png","Minnesota Utd","0 - 3","/img/teams/avfc.png","Aston Villa"
21/07/2019,"Pre-Season","/img/teams/shrewsbury.png",Shrewsbury,"0 - 1","/img/teams/avfc.png","Aston Villa"
24/07/2019,"Pre-Season","/img/teams/walsall.png",Walsall,"1 - 5","/img/teams/avfc.png","Aston Villa"
21/07/2019,"Pre-Season","/img/teams/charlton.png",Charlton,"1 - 4","/img/teams/avfc.png","Aston Villa"
03/08/2019,"Pre-Season","/img/teams/rb-leipzig.png","RB Leipzig","1 - 3","/img/teams/avfc.png","Aston Villa"
10/08/2019,"Premier League","/img/teams/spurs.png",Tottenham,"3 - 1","/img/teams/avfc.png","Aston Villa"
17/08/2019,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/bournemouth.png",Bournemouth
23/08/2019,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 0","/img/teams/everton.png",Everton
27/08/2019,"Carabao Cup","/img/teams/crewe.png",Crewe,"1 - 6","/img/teams/avfc.png","Aston Villa"
31/08/2019,"Premier League","/img/teams/crystal-pal.png","Crystal Palace","1 - 0","/img/teams/avfc.png","Aston Villa"
16/09/2019,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 0","/img/teams/west-ham.png","West Ham"
22/09/2019,"Premier League","/img/teams/arsenal.png",Arsenal,"3 - 2","/img/teams/avfc.png","Aston Villa"
25/09/2019,"Carabao Cup","/img/teams/brighton.png",Brighton,"1 - 3","/img/teams/avfc.png","Aston Villa"
28/09/2019,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 2","/img/teams/burnley.png",Burnley
05/10/2019,"Premier League","/img/teams/norwich.png",Norwich,"1 - 5","/img/teams/avfc.png","Aston Villa"
19/10/2019,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/brighton.png",Brighton
26/10/2019,"Premier League","/img/teams/man-c.png","Man. City","3 - 0","/img/teams/avfc.png","Aston Villa"
30/10/2019,"Carabao Cup","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/wolves.png",Wolves
02/1/2019,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/liverpool.png",Liverpool
09/11/2019,"Premier League","/img/teams/wolves.png",Wolves,"2 - 1","/img/teams/avfc.png","Aston Villa"
23/11/2019,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 0","/img/teams/newcastle.png",Newcastle
01/12/2019,"Premier League","/img/teams/man-u.png","Man. Utd","2 - 2","/img/teams/avfc.png","Aston Villa"
04/12/2019,"Premier League","/img/teams/chelsea.png",Chelsea,"2 - 1","/img/teams/avfc.png","Aston Villa"
08/12/2019,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 4","/img/teams/leicester.png",Leicester
14/12/2019,"Premier League","/img/teams/sheff-u.png","Sheffield Utd","2 - 0","/img/teams/avfc.png","Aston Villa"
17/12/2019,"Carabao Cup","/img/teams/avfc.png","Aston Villa","5 - 0","/img/teams/liverpool.png",Liverpool
21/12/2019,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 3","/img/teams/southampton.png",Southampton
26/12/2019,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/norwich.png",Norwich
28/12/2019,"Premier League","/img/teams/watford.png",Watford,"3 - 0","/img/teams/avfc.png","Aston Villa"
01/01/2020,"Premier League","/img/teams/burnley.png",Burnley,"1 - 2","/img/teams/avfc.png","Aston Villa"
04/01/2020,"FA Cup","/img/teams/fulham.png",Fulham,"2 - 1","/img/teams/avfc.png","Aston Villa"
08/01/2020,"Carabao Cup","/img/teams/leicester.png",Leicester,"1 - 1","/img/teams/avfc.png","Aston Villa"
11/01/2020,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 6","/img/teams/man-c.png","Man. City"
18/01/2020,"Premier League","/img/teams/brighton.png",Brighton,"1 - 1","/img/teams/avfc.png","Aston Villa"
21/01/2020,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/watford.png",Watford
28/01/2020,"Carabao Cup","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/leicester.png",Leicester
01/02/2020,"Premier League","/img/teams/bournemouth.png",Bournemouth,"2 - 1","/img/teams/avfc.png","Aston Villa"
08/02/2020,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 3","/img/teams/spurs.png",Tottenham
22/02/2020,"Premier League","/img/teams/southampton.png",Southampton,"2 - 0","/img/teams/avfc.png","Aston Villa"
01/03/2020,"Carabao Cup Final","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/man-c.png","Man. City"
07/03/2020,"Premier League","/img/teams/leicester.png",Leicester,"4 - 0","/img/teams/avfc.png","Aston Villa"
