Date,Competition,,,Score,,
29/08/2020,Pre-Season,"/img/teams/avfc.png","Aston Villa","5 - 2","/img/teams/wycombe.png","Wycomb"
12/09/2020,Pre-Season,"/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/man-u.png","Man. Utd"
15/09/2020,Pre-Season,"/img/teams/burton.png","Burton","1 - 3","/img/teams/avfc.png","Aston Villa"
21/09/2020,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/sheff-u.png","Sheff Utd"
24/09/2020,"League Cup","/img/teams/bristol-c.png","Bristol City","0 - 3","/img/teams/avfc.png","Aston Villa"
28/09/2020,"Premier League","/img/teams/fulham.png","Fulham","0 - 3","/img/teams/avfc.png","Aston Villa"
01/10/2020,"League Cup","/img/teams/avfc.png","Aston Villa","0 - 1","/img/teams/stoke.png","Stoke"
04/10/2020,"Premier League","/img/teams/avfc.png","Aston Villa","7 - 2","/img/teams/liverpool.png","Liverpool"
18/10/2020,"Premier League","/img/teams/leicester.png","Leicester","0 - 1","/img/teams/avfc.png","Aston Villa"
23/10/2020,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 3","/img/teams/leeds.png","Leeds"
01/11/2020,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 4","/img/teams/southampton.png","Southampton"
08/11/2020,"Premier League","/img/teams/arsenal.png","Arsenal","0 - 3","/img/teams/avfc.png","Aston Villa"
21/11/2020,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/brighton.png","Brighton"
30/11/2020,"Premier League","/img/teams/west-ham.png","West Ham","2 - 1","/img/teams/avfc.png","Aston Villa"
12/12/2020,"Premier League","/img/teams/wolves.png","Wolves","0 - 1","/img/teams/avfc.png","Aston Villa"
17/12/2020,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 0","/img/teams/burnley.png","Burnley"
20/12/2020,"Premier League","/img/teams/west-brom.png","West Brom","0 - 3","/img/teams/avfc.png","Aston Villa"
26/12/2020,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 0","/img/teams/crystal-pal.png","Crystal Palace"
28/12/2020,"Premier League","/img/teams/chelsea.png","Chelsea","1 - 1","/img/teams/avfc.png","Aston Villa"
01/01/2021,"Premier League","/img/teams/man-u.png","Man. Utd","2 - 1","/img/teams/avfc.png","Aston Villa"
08/01/2021,"FA Cup","/img/teams/avfc.png","Aston Villa","1 - 4","/img/teams/liverpool.png","Liverpool"
20/01/2021,"Premier League","/img/teams/man-c.png","Man. City","2 - 0","/img/teams/avfc.png","Aston Villa"
23/01/2021,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 0","/img/teams/newcastle.png","Newcastle"
27/01/2021,"Premier League","/img/teams/burnley.png","Burnley","3 - 2","/img/teams/avfc.png","Aston Villa"
30/01/2021,"Premier League","/img/teams/southampton.png","Southampton","0 - 1","/img/teams/avfc.png","Aston Villa"
03/02/2021,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 3","/img/teams/west-ham.png","West Ham"
06/02/2021,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/arsenal.png","Arsenal"
13/02/2021,"Premier League","/img/teams/brighton.png","Brighton","0 - 0","/img/teams/avfc.png","Aston Villa"
21/02/2021,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/leicester.png","Leicester"
27/02/2021,"Premier League","/img/teams/leeds.png","Leeds","0 - 1","/img/teams/avfc.png","Aston Villa"
03/03/2021,"Premier League","/img/teams/sheff-u.png","Sheff. Utd","1 - 0","/img/teams/avfc.png","Aston Villa"
06/03/2021,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 0","/img/teams/wolves.png","Wolves"
12/03/2021,"Premier League","/img/teams/newcastle.png","Newcastle","1 - 1","/img/teams/avfc.png","Aston Villa"
21/03/2021,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 2","/img/teams/spurs.png","Tottenham"
04/04/2021,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 1","/img/teams/fulham.png","Fulham"
10/04/2021,"Premier League","/img/teams/liverpool.png","Liverpool","2 - 1","/img/teams/avfc.png","Aston Villa"
21/04/2021,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/man-c.png","Man. City"
25/04/2021,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 2","/img/teams/west-brom.png","West Brom"
01/05/2021,"Premier League","/img/teams/everton.png","Everton","1 - 2","/img/teams/avfc.png","Aston Villa"
09/05/2021,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 3","/img/teams/man-u.png","Man. Utd"
13/05/2021,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 0","/img/teams/everton.png","Everton"
16/05/2021,"Premier League","/img/teams/crystal-pal.png","Crystal Palace","3 - 2","/img/teams/avfc.png","Aston Villa"
19/05/2021,"Premier League","/img/teams/spurs.png","Tottenham","1 - 2","/img/teams/avfc.png","Aston Villa"
23/05/2021,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/chelsea.png","Chelsea"
