Date,Competition,,,Score,,
09/07/2022,Pre-Season,"/img/teams/walsall.png",Walsall,"0 - 4","/img/teams/avfc.png","Aston Villa"
17/07/2022,Pre-Season,"/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/leeds.png",Leeds
20/07/2022,Pre-Season,"/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/brisbane.png","Brisbane Roar"
23/07/2022,Pre-Season,"/img/teams/man-u.png","Man. Utd","2 - 2","/img/teams/avfc.png","Aston Villa"
30/07/2022,Pre-Season,"/img/teams/rennes.png",Rennes,"1 - 2","/img/teams/avfc.png","Aston Villa"
06/08/2022,"Premier League","/img/teams/bournemouth.png",Bournemouth,"2 - 0","/img/teams/avfc.png","Aston Villa"
13/08/2022,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/everton.png",Everton
20/08/2022,"Premier League","/img/teams/crystal-pal.png",Crystal Palace,"3 - 1","/img/teams/avfc.png","Aston Villa"
23/08/2022,"League Cup","/img/teams/bolton.png",Bolton,"1 - 4","/img/teams/avfc.png","Aston Villa"
28/08/2022,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 1","/img/teams/west-ham.png","West Ham"
31/08/2022,"Premier League","/img/teams/arsenal.png",Arsenal,"2 - 1","/img/teams/avfc.png","Aston Villa"
03/09/2022,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 1","/img/teams/man-c.png","Man. City"
16/09/2022,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/southampton.png","Southampton"
02/10/2022,"Premier League","/img/teams/leeds.png",Leeds,"0 - 0","/img/teams/avfc.png","Aston Villa"
10/10/2022,"Premier League","/img/teams/nottm-f.png","Nottm For","1 - 1","/img/teams/avfc.png","Aston Villa"
16/10/2022,"Premier League","/img/teams/avfc.png","Aston Villa","0 - 2","/img/teams/chelsea.png","Chelsea"
20/10/2022,"Premier League","/img/teams/fulham.png",Fulham,"0 - 3","/img/teams/avfc.png","Aston Villa"
23/10/2022,"Premier League","/img/teams/avfc.png","Aston Villa","4 - 0","/img/teams/brentford.png","Brentford"
29/10/2022,"Premier League","/img/teams/newcastle.png",Newcastle,"4 - 0","/img/teams/avfc.png","Aston Villa"
06/11/2022,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 1","/img/teams/man-u.png","Man. Utd"
10/11/2022,"League Cup","/img/teams/man-u.png","Man. Utd","4 - 2","/img/teams/avfc.png","Aston Villa"
13/11/2022,"Premier League","/img/teams/brighton.png",Brighton,"1 - 2","/img/teams/avfc.png","Aston Villa"
30/11/2022,"Friendly","/img/teams/cardiff.png",Cardiff,"3 - 1","/img/teams/avfc.png","Aston Villa"
08/12/2022,"Friendly","/img/teams/avfc.png","Aston Villa","2 - 2","/img/teams/brighton.png","Brighton"
11/12/2022,"Friendly","/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/chelsea.png","Chelsea"
15/12/2022,"Friendly","/img/teams/avfc.png","Aston Villa","0 - 1","/img/teams/villareal.png","Villareal"
26/12/2022,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 3","/img/teams/liverpool.png","Liverpool"
01/01/2023,"Premier League","/img/teams/spurs.png",Tottenham,"0 - 2","/img/teams/avfc.png","Aston Villa"
04/01/2023,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 1","/img/teams/wolves.png","Wolves"
08/01/2023,"FA Cup","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/stevenage.png","Stevenage"
13/01/2023,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/leeds.png","Leeds"
21/01/2023,"Premier League","/img/teams/southampton.png",Southampton,"0 - 1","/img/teams/avfc.png","Aston Villa"
04/02/2023,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 4","/img/teams/leicester.png","Leicester"
12/02/2023,"Premier League","/img/teams/man-c.png","Man. City","3 - 1","/img/teams/avfc.png","Aston Villa"
18/02/2023,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 4","/img/teams/arsenal.png","Arsenal"
25/02/2023,"Premier League","/img/teams/everton.png",Everton,"0 - 2","/img/teams/avfc.png","Aston Villa"
04/03/2023,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/crystal-pal.png","Crystal Palace"
12/03/2023,"Premier League","/img/teams/west-ham.png","West Ham","1 - 1","/img/teams/avfc.png","Aston Villa"
18/03/2023,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 0","/img/teams/bournemouth.png","Bournemouth"
01/04/2023,"Premier League","/img/teams/chelsea.png",Chelsea,"0 - 2","/img/teams/avfc.png","Aston Villa"
04/04/2023,"Premier League","/img/teams/leicester.png",Leicester,"1 - 2","/img/teams/avfc.png","Aston Villa"
08/04/2023,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 0","/img/teams/nottm-f.png","Nottm For"
15/04/2023,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 0","/img/teams/newcastle.png","Newcastle"
22/04/2023,"Premier League","/img/teams/brentford.png",Brentford,"1 - 1","/img/teams/avfc.png","Aston Villa"
25/04/2023,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/fulham.png","Fulham"
30/04/2023,"Premier League","/img/teams/man-u.png","Man. Utd","1 - 0","/img/teams/avfc.png","Aston Villa"
06/05/2023,"Premier League","/img/teams/wolves.png",Wolves,"1 - 0","/img/teams/avfc.png","Aston Villa"
13/05/2023,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/spurs.png","Tottenham"
20/05/2023,"Premier League","/img/teams/liverpool.png",Liverpool,"1 - 1","/img/teams/avfc.png","Aston Villa"
28/05/2023,"Premier League","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/brighton.png","Brighton"
