Date,Competition,,,Score,,
15/07/2023,Pre-Season,"/img/teams/walsall.png",Walsall,"1 - 1","/img/teams/avfc.png","Aston Villa"
24/07/2023,Pre-Season,"/img/teams/newcastle.png","Newcastle","3 - 3","/img/teams/avfc.png","Aston Villa"
27/07/2023,Pre-Season,"/img/teams/fulham.png","Fulham","0 - 2","/img/teams/avfc.png","Aston Villa"
30/07/2023,Pre-Season,"/img/teams/avfc.png","Aston Villa","3 - 3","/img/teams/brentford.png","Brentford"
03/08/2023,Pre-Season,"/img/teams/avfc.png","Aston Villa","3 - 0","/img/teams/lazio.png","Lazio"
05/07/2023,Pre-Season,"/img/teams/valencia.png","Valencia","1 - 2","/img/teams/avfc.png","Aston Villa"
12/07/2023,"Premier League","/img/teams/newcastle.png","Newcastle","5 - 1","/img/teams/avfc.png","Aston Villa"
20/08/2023,"Premier League","/img/teams/avfc.png","Aston Villa","4 - 0","/img/teams/everton.png","Everton"
23/08/2023,"Europa Conference","/img/teams/hibs.png","Hibernian","0 - 5","/img/teams/avfc.png","Aston Villa"
27/08/2023,"Premier League","/img/teams/burnley.png","Burnley","1 - 3","/img/teams/avfc.png","Aston Villa"
31/08/2023,"Europa Conference","/img/teams/avfc.png","Aston Villa","3 - 0","/img/teams/hibs.png","Hibernian"
03/09/2023,"Premier League","/img/teams/liverpool.png","Liverpool","3 - 0","/img/teams/avfc.png","Aston Villa"
16/09/2023,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 1","/img/teams/crystal-pal.png","Crystal Palace"
21/09/2023,"Europa Conference","/img/teams/legia.png","Legia Warzawa","3 - 2","/img/teams/avfc.png","Aston Villa"
24/09/2023,"Premier League","/img/teams/chelsea.png","Chelsea","0 - 1","/img/teams/avfc.png","Aston Villa"
27/09/2023,"League Cup","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/everton.png","Everton"
30/09/2023,"Premier League","/img/teams/avfc.png","Aston Villa","6 - 1","/img/teams/brighton.png","Brighton"
05/10/2023,"Europa Conference","/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/zrinjski.png","Zrinjski"
08/10/2023,"Premier League","/img/teams/wolves.png","Wolves","1 - 1","/img/teams/avfc.png","Aston Villa"
22/10/2023,"Premier League","/img/teams/avfc.png","Aston Villa","4 - 1","/img/teams/west-ham.png","West Ham"
26/10/2023,"Europa Conference","/img/teams/az-alkmaar.png","AZ Alkmaar","1 - 4","/img/teams/avfc.png","Aston Villa"
29/10/2023,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 1","/img/teams/luton.png","Luton"
05/11/2023,"Premier League","/img/teams/nottm-f.png","Nottm Forest","2 - 0","/img/teams/avfc.png","Aston Villa"
09/11/2023,"Europa Conference","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/az-alkmaar.png","AZ Alkmaar"
12/11/2023,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 1","/img/teams/fulham.png","Fulham"
26/11/2023,"Premier League","/img/teams/spurs.png","Tottenham","1 - 2","/img/teams/avfc.png","Aston Villa"
30/11/2023,"Europa Conference","/img/teams/avfc.png","Aston Villa","2 - 1","/img/teams/legia.png","Legia Warzawa"
03/12/2023,"Premier League","/img/teams/bournemouth.png","Bournemouth","2 - 2","/img/teams/avfc.png","Aston Villa"
06/12/2023,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/man-c.png","Man. City"
09/12/2023,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 0","/img/teams/arsenal.png","Arsenal"
14/12/2023,"Europa Conference","/img/teams/zrinjski.png","Zrinjski","1 - 1","/img/teams/avfc.png","Aston Villa"
17/12/2023,"Premier League","/img/teams/brentford.png","Brentford","1 - 2","/img/teams/avfc.png","Aston Villa"
22/12/2023,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 1","/img/teams/sheff-u.png","Sheff Utd"
26/12/2023,"Premier League","/img/teams/man-u.png","Man. Utd","3 - 2","/img/teams/avfc.png","Aston Villa"
30/12/2023,"Premier League","/img/teams/avfc.png","Aston Villa","3 - 2","/img/teams/burnley.png","Burnley"
06/01/2024,"FA Cup","/img/teams/middlesbro.png","Middlesborough","0 - 1","/img/teams/avfc.png","Aston Villa"
14/01/2024,"Premier League","/img/teams/everton.png","Everton","0 - 0","/img/teams/avfc.png","Aston Villa"
26/01/2024,"FA Cup","/img/teams/chelsea.png","Chelsea","0 - 0","/img/teams/avfc.png","Aston Villa"
30/01/2024,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 3","/img/teams/newcastle.png","Newcastle"
03/02/2024,"Premier League","/img/teams/sheff-u.png","Sheff Utd","0 - 5","/img/teams/avfc.png","Aston Villa"
07/02/2024,"FA Cup League","/img/teams/avfc.png","Aston Villa","1 - 3","/img/teams/chelsea.png","Chelsea"
11/02/2024,"Premier League","/img/teams/avfc.png","Aston Villa","1 - 2","/img/teams/man-u.png","Man. Utd"
17/02/2024,"Premier League","/img/teams/fulham.png","Fulham","1 - 2","/img/teams/avfc.png","Aston Villa"
24/02/2024,"Premier League","/img/teams/avfc.png","Aston Villa","4 - 2","/img/teams/nottm-f.png","Nottm Forest"
02/03/2024,"Premier League","/img/teams/luton.png","Luton","2 - 3","/img/teams/avfc.png","Aston Villa"
07/03/2024,"Europa Conference","/img/teams/ajax.png","Ajax","0 - 0","/img/teams/avfc.png","Aston Villa"
