Date,Competition,,,Score,,
16/07/2025,Pre-Season,"/img/teams/walsall.png","Walsall","1 - 0","/img/teams/avfc.png","Aston Villa"
19/07/2025,Pre-Season,"/img/teams/hansa.png","Hansa Rostock","3 - 1","/img/teams/avfc.png","Aston Villa"
27/07/2025,Pre-Season,"/img/teams/frankfurt.png","Eintracht Frankfurt","-","/img/teams/avfc.png","Aston Villa"
31/07/2025,Pre-Season,"/img/teams/st-louis.png","St. Louis City SC","-","/img/teams/avfc.png","Aston Villa"
03/08/2025,Pre-Season,"/img/teams/nashville.png","Nashville SC","-","/img/teams/avfc.png","Aston Villa"
06/08/2025,Pre-Season,"/img/teams/avfc.png","Aston Villa","-","/img/teams/roma.png","AS Roma"
16/08/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/newcastle.png","Newcastle"
23/08/2025,Premier League,"/img/teams/brentford.png","Brentford","-","/img/teams/avfc.png","Aston Villa"
30/08/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/crystal-pal.png","Crystal Palace"
13/09/2025,Premier League,"/img/teams/everton.png","Everton","-","/img/teams/avfc.png","Aston Villa"
20/09/2025,Premier League,"/img/teams/sunderland.png","Sunderland","-","/img/teams/avfc.png","Aston Villa"
27/09/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/fulham.png","Fulham"
04/10/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/burnley.png","Burnley"
18/10/2025,Premier League,"/img/teams/spurs.png","Tottenham","-","/img/teams/avfc.png","Aston Villa"
25/10/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/man-c.png","Man. City"
01/11/2025,Premier League,"/img/teams/liverpool.png","Liverpool","-","/img/teams/avfc.png","Aston Villa"
08/11/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/bournemouth.png","Bournemouth"
22/11/2025,Premier League,"/img/teams/leeds.png","Leeds Utd","-","/img/teams/avfc.png","Aston Villa"
29/11/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/wolves.png","Wolves"
03/12/2025,Premier League,"/img/teams/brighton.png","Brighton","-","/img/teams/avfc.png","Aston Villa"
06/12/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/arsenal.png","Arsenal"
13/12/2025,Premier League,"/img/teams/west-ham.png","West Ham","-","/img/teams/avfc.png","Aston Villa"
20/12/2025,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/man-u.png","Man. Utd"
27/12/2025,Premier League,"/img/teams/chelsea.png","Chelsea","-","/img/teams/avfc.png","Aston Villa"
30/12/2025,Premier League,"/img/teams/arsenal.png","Arsenal","-","/img/teams/avfc.png","Aston Villa"
03/01/2026,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/nottm-f.png","Nottm Forest"
07/01/2026,Premier League,"/img/teams/crystal-pal.png","Crystal Palace","-","/img/teams/avfc.png","Aston Villa"
17/01/2026,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/man-u.png","Everton"
24/01/2026,Premier League,"/img/teams/newcastle.png","Newcastle","-","/img/teams/avfc.png","Aston Villa"
31/01/2026,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/brentford.png","Brentford"
07/02/2026,Premier League,"/img/teams/bournemouth.png","Bournemouth","-","/img/teams/avfc.png","Aston Villa"
11/02/2026,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/brighton.png","Brighton"
21/02/2026,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/leeds.png","Leeds"
28/02/2026,Premier League,"/img/teams/wolves.png","Wolves","-","/img/teams/avfc.png","Aston Villa"
04/03/2026,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/chelsea.png","Chelsea"
14/03/2026,Premier League,"/img/teams/man-u.png","Man. Utd","-","/img/teams/avfc.png","Aston Villa"
21/03/2026,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/west-ham.png","West Ham"
11/04/2026,Premier League,"/img/teams/nottm-f.png","Nottm Forest","-","/img/teams/avfc.png","Aston Villa"
18/04/2026,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/sunderland.png","Sunderland"
25/04/2026,Premier League,"/img/teams/fulham.png","Fulham","-","/img/teams/avfc.png","Aston Villa"
02/05/2026,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/spurs.png","Tottenham"
09/05/2026,Premier League,"/img/teams/burnley.png","Burnley","-","/img/teams/avfc.png","Aston Villa"
17/05/2026,Premier League,"/img/teams/avfc.png","Aston Villa","-","/img/teams/liverpool.png","Liverpool"
24/05/2026,Premier League,"/img/teams/man-c.png","Man. City","-","/img/teams/avfc.png","Aston Villa"
